EAN	COD. INVENTARIO	COD. COMERCIAL	DESCRIPCION	EAN	EMPRESA	MARCA	MERCADO	NEGOCIO	CATEGORIA CALIDAD	TIPO FABRICACION	TIPO MERCADO
07796962211150	21N115AR	9121N115AR	NOTEBOOK COMPAQ PRESARIO 21N115AR	07796962211150	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962211211	21N121AR	9121N121ARF	NOTEBOOK COMPAQ PRESARIO 21N121AR	07796962211211	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	SKD-PCA	SA
07796962211228	21N122AR	9121N122ARF	NOTEBOOK COMPAQ PRESARIO 21N122AR	07796962211228	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	SKD-PCA	SA
07796962212034	21N203AR	9121N203AR	NOTEBOOK COMPAQ PRESARIO 21N203AR	07796962212034	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212058	21N205AR	9121N205AR	NOTEBOOK COMPAQ PRESARIO 21N205AR	07796962212058	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212010	21N205PRO	9121N205PRO	NOTEBOOK COMPAQ PRESARIO 21N205PRO	07796962212010	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212072	21N207AR	9121N207AR	NOTEBOOK COMPAQ PRESARIO 21N207AR	07796962212072	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212133	21N213AR	9121N213AR	NOTEBOOK COMPAQ 21N213AR CORE I3 WINDOWS 10	07796962212133	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212157	21N215AR	9121N215AR	NOTEBOOK COMPAQ 21N215AR CORE I5 WINDOWS 10	07796962212157	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212171	21N217AR	9121N217AR	NOTEBOOK COMPAQ 21N217AR CORE I7 WINDOWS 10	07796962212171	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212218	21N221AR	9121N221AR	NOTEBOOK COMPAQ PRESARIO 21N221AR	07796962212218	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212225	21N222AR	9121N222AR	NOTEBOOK COMPAQ PRESARIO 21N222AR	07796962212225	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962606550	21TC655F	9121TC655F	TV COLOR 21" FLAT NOBLEX	07796962606550	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796923606575	21TC657X	9121TC657XF	TV COLOR 21" FLAT NOBLEX	07796923606575	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	SA
07796923606636	21TC663F	9121TC663F	TV COLOR 21" FLAT NOBLEX	07796923606636	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606710	21TC671F	9121TC671F	TV 21" FLAT STEREO   NOBLEX	07796962606710	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606727	21TC672F	9121TC672F	TV 21" FLAT STEREO   NOBLEX	07796962606727	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606789	21TC672FB	9121TC672FB	TV 21" FLAT STEREO   NOBLEX	07796962606789	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606741	21TC674	9121TC674	TV COLOR 21" STEREO NOBLEX	07796962606741	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962612117	21TC677U	9121TC677U	TV 21" FLAT SLIM STEREO NOBLEX	07796962612117	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606789	21TC678F	9121TC678F	TV 21" FLAT STEREO   NOBLEX	07796962606789	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
04905524740431	22BX325	9122BX325	LCD SONY BRAVIA 22" WXGA	04905524740431	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
